eventID,occurrenceID,measurementType,measurementValue,measurementValueID,measurementUnit,measurementUnitID,measurementTypeID,measurementID
IYS2022-TINRO-3-5-FC-4.7,IYS2022-TINRO-3-5-FC-4.7-2,Abundance of cells per milliliter,6286,NA,cells per milliliter,http://vocab.nerc.ac.uk/collection/P06/current/UCML/,http://vocab.nerc.ac.uk/collection/P01/current/PYTTAFTX/,IYS2022-TINRO-3-5-FC-4.7-2-1
IYS2022-TINRO-3-5-FC-4.7,IYS2022-TINRO-3-5-FC-4.7-2,Particulate Organic Carbon per cell,1308.3,NA,femtogram,http://vocab.nerc.ac.uk/collection/P06/current/FMTG/, ,IYS2022-TINRO-3-5-FC-4.7-2-2
IYS2022-TINRO-3-5-FC-4.7,IYS2022-TINRO-3-5-FC-4.7-2,Biomass as carbon per unit volume,8.2,NA,microgram carbon per liter,http://vocab.nerc.ac.uk/collection/P06/current/UGPL/, ,IYS2022-TINRO-3-5-FC-4.7-2-3
IYS2022-TINRO-3-5-FC-4.7,IYS2022-TINRO-3-5-FC-4.7-2,Biomass as carbon per unit volume,NA,NA,microgram carbon per milliliter,http://vocab.nerc.ac.uk/collection/P06/current/UUGS/, ,IYS2022-TINRO-3-5-FC-4.7-2-4
IYS2022-TINRO-3-5-FC-4.7,IYS2022-TINRO-3-5-FC-4.7-2,NA,RedPico,http://vocab.nerc.ac.uk/collection/F02/current/F0200004/,NA,NA,NA,IYS2022-TINRO-3-5-FC-4.7-2-5
IYS2022-TINRO-3-5-FC-4.7,IYS2022-TINRO-3-5-FC-4.7-3,Abundance of cells per milliliter,110,NA,cells per milliliter,http://vocab.nerc.ac.uk/collection/P06/current/UCML/,http://vocab.nerc.ac.uk/collection/P01/current/PYTTAFTX/,IYS2022-TINRO-3-5-FC-4.7-3-1
IYS2022-TINRO-3-5-FC-4.7,IYS2022-TINRO-3-5-FC-4.7-3,Particulate Organic Carbon per cell,18496.7,NA,femtogram,http://vocab.nerc.ac.uk/collection/P06/current/FMTG/, ,IYS2022-TINRO-3-5-FC-4.7-3-2
IYS2022-TINRO-3-5-FC-4.7,IYS2022-TINRO-3-5-FC-4.7-3,Biomass as carbon per unit volume,2,NA,microgram carbon per liter,http://vocab.nerc.ac.uk/collection/P06/current/UGPL/, ,IYS2022-TINRO-3-5-FC-4.7-3-3
IYS2022-TINRO-3-5-FC-4.7,IYS2022-TINRO-3-5-FC-4.7-3,Biomass as carbon per unit volume,NA,NA,microgram carbon per milliliter,http://vocab.nerc.ac.uk/collection/P06/current/UUGS/, ,IYS2022-TINRO-3-5-FC-4.7-3-4
IYS2022-TINRO-3-5-FC-4.7,IYS2022-TINRO-3-5-FC-4.7-3,NA,RedRedNano,http://vocab.nerc.ac.uk/collection/F02/current/F0200005/,NA,NA,NA,IYS2022-TINRO-3-5-FC-4.7-3-5
IYS2022-TINRO-3-5-FC-4.7,IYS2022-TINRO-3-5-FC-4.7-4,Abundance of cells per milliliter,41,NA,cells per milliliter,http://vocab.nerc.ac.uk/collection/P06/current/UCML/,http://vocab.nerc.ac.uk/collection/P01/current/PYTTAFTX/,IYS2022-TINRO-3-5-FC-4.7-4-1
IYS2022-TINRO-3-5-FC-4.7,IYS2022-TINRO-3-5-FC-4.7-4,Particulate Organic Carbon per cell,17753.2,NA,femtogram,http://vocab.nerc.ac.uk/collection/P06/current/FMTG/, ,IYS2022-TINRO-3-5-FC-4.7-4-2
IYS2022-TINRO-3-5-FC-4.7,IYS2022-TINRO-3-5-FC-4.7-4,Biomass as carbon per unit volume,NA,NA,microgram carbon per liter,http://vocab.nerc.ac.uk/collection/P06/current/UGPL/, ,IYS2022-TINRO-3-5-FC-4.7-4-3
IYS2022-TINRO-3-5-FC-4.7,IYS2022-TINRO-3-5-FC-4.7-4,Biomass as carbon per unit volume,0.7,NA,microgram carbon per milliliter,http://vocab.nerc.ac.uk/collection/P06/current/UUGS/, ,IYS2022-TINRO-3-5-FC-4.7-4-4
IYS2022-TINRO-3-5-FC-4.7,IYS2022-TINRO-3-5-FC-4.7-4,NA,OraNano,http://vocab.nerc.ac.uk/collection/F02/current/F0200006/,NA,NA,NA,IYS2022-TINRO-3-5-FC-4.7-4-5
IYS2022-TINRO-3-6-FC-4.6,IYS2022-TINRO-3-6-FC-4.6-1,Abundance of cells per milliliter,30333,NA,cells per milliliter,http://vocab.nerc.ac.uk/collection/P06/current/UCML/,http://vocab.nerc.ac.uk/collection/P01/current/PYTTAFTX/,IYS2022-TINRO-3-6-FC-4.6-1-1
